pl_name,hostname,disc_facility,pl_orbper,pl_rade,st_teff,st_rad,st_lum,st_mass
Kepler-1053 b,Kepler-1053,Kepler,2.414351654,0.98,4529.0,0.69,-0.89512,0.74
Kepler-1932 b,Kepler-1932,Kepler,0.524177015,1.51482218,5278.0,0.815,-0.35191,0.911
Kepler-340 c,Kepler-340,Kepler,22.824669,3.37,6620.0,1.85,0.86749,1.65
Kepler-940 b,Kepler-940,Kepler,59.6225257,3.34,5769.0,0.96,-0.05668,0.97
Kepler-524 c,Kepler-524,Kepler,1.88897906,0.96,6014.0,1.1,0.43947,1.09
Kepler-534 c,Kepler-534,Kepler,7.378689766,1.227,5936.0,0.965,0.14739,1.075
Kepler-647 b,Kepler-647,Kepler,16.2254649,1.17,6020.0,1.07,0.41834,1.03
Kepler-130 b,Kepler-130,Kepler,8.457458,1.02,5884.0,1.127,0.19831,0.927
Kepler-1955 b,Kepler-1955,Kepler,14.26519966,1.16654878,5825.0,1.291,0.22965,1.049
Kepler-1869 c,Kepler-1869,Kepler,1.716828304,0.74,5808.0,0.902,-0.05012,0.987
Kepler-537 b,Kepler-537,Kepler,3.247555219,1.41,5763.0,0.99,-0.03874,1.07
Kepler-1546 b,Kepler-1546,Kepler,19.5974971,3.13,5623.0,0.93,-0.12963,0.95
Kepler-1030 b,Kepler-1030,Kepler,19.32952416,2.48,4983.0,0.76,-0.55288,0.8
TOI-125 d,TOI-125,Transiting Exoplanet Survey Satellite (TESS),19.98,2.93,5320.0,0.848,-0.28483,0.859
LHS 3844 b,LHS 3844,Transiting Exoplanet Survey Satellite (TESS),0.46292913,1.303,3036.0,0.189,-2.56543,0.151
TOI-237 b,TOI-237,Transiting Exoplanet Survey Satellite (TESS),5.436098,1.44,3212.0,0.211,-2.38722,0.179
TOI-181 b,TOI-181,Transiting Exoplanet Survey Satellite (TESS),4.532,6.9559,4994.0,0.745,-0.52578,0.822
TOI-260 b,TOI-260,Transiting Exoplanet Survey Satellite (TESS),13.475853,1.71,4026.0,0.607,-1.05899,0.616
TOI-2529 b,TOI-2529,Transiting Exoplanet Survey Satellite (TESS),64.5949,11.54525012,5802.0,1.7,0.46389,1.11
TOI-4379 b,TOI-4379,Transiting Exoplanet Survey Satellite (TESS),3.25352,16.69017226,6020.0,1.976,0.63749,1.372
TOI-5795 b,TOI-5795,Transiting Exoplanet Survey Satellite (TESS),6.1406325,5.62,5715.0,1.082,0.05308,0.901
TOI-198 b,TOI-198,Transiting Exoplanet Survey Satellite (TESS),10.2152,1.44,3650.0,0.441,-1.43315,0.467
TOI-5789 c,TOI-5789,Transiting Exoplanet Survey Satellite (TESS),12.927748,2.86,5185.0,0.833,-0.32883,0.821
